participant_id,date,gender,activity_type,duration_minutes,calories_burned,daily_steps,avg_heart_rate,sleep_hours
P013,2026-02-20,Male,Weight Training,46,348.0,6556.0,108.0,7.2
P007,2026-01-19,Male,Running,46,462.0,10331.0,125.0,8.2
P025,2026-03-24,Female,Weight Training,56,341.0,5433.0,100.0,6.6
P008,2026-02-06,Male,Walking,69,342.0,13008.0,101.0,6.1
P027,2026-03-14,Male,Walking,69,328.0,12021.0,90.0,6.1
P003,2026-03-20,Female,Walking,50,237.0,10863.0,94.0,6.8
P022,2026-03-26,Male,Walking,56,311.0,10836.0,105.0,7.0
P024,2026-02-08,Female,Weight Training,69,412.0,4184.0,113.0,4.8
P026,2026-01-14,Male,Running,56,554.0,12176.0,138.0,6.7
P013,2026-01-03,Male,Yoga,55,225.0,5974.0,92.0,6.8
P020,2026-02-03,Female,Walking,45,218.0,9685.0,114.0,6.1
P017,2026-03-28,Female,Running,31,301.0,8357.0,136.0,6.3
P011,2026-03-25,Male,Walking,69,319.0,9286.0,99.0,7.1
P010,2026-03-06,Male,HIIT,37,311.0,5746.0,133.0,5.8
P014,2026-01-06,Male,Swimming,57,478.0,3451.0,131.0,7.0
P006,2026-01-08,Male,Walking,66,318.0,9506.0,98.0,6.3
P018,2026-03-13,Male,Walking,29,190.0,8036.0,100.0,6.2
P018,2026-01-07,Male,Swimming,28,250.0,4898.0,129.0,5.6
P012,2026-01-26,Male,Running,25,311.0,6234.0,127.0,7.8
P025,2026-01-03,Female,Cycling,57,393.0,5994.0,105.0,7.2
P014,2026-03-21,Male,Swimming,46,391.0,3433.0,127.0,8.1
P019,2026-01-25,Female,Swimming,74,537.0,4126.0,136.0,5.1
P018,2026-03-05,Male,Walking,51,254.0,10179.0,96.0,6.7
P011,2026-03-24,Male,Swimming,32,311.0,4295.0,131.0,6.7
P003,2026-02-20,Female,Yoga,73,256.0,4960.0,90.0,9.2
P015,2026-03-06,Male,Weight Training,50,350.0,4191.0,116.0,4.1
P010,2026-02-07,Male,Running,26,294.0,7075.0,133.0,5.4
P011,2026-01-29,Male,HIIT,38,389.0,5754.0,136.0,7.4
P015,2026-02-09,Male,Yoga,48,197.0,3589.0,90.0,8.0
P015,2026-02-24,Male,Weight Training,72,466.0,4520.0,97.0,8.7
P013,2026-03-19,Male,Yoga,62,252.0,5667.0,90.0,6.3
P025,2026-01-13,Female,Swimming,52,359.0,5260.0,114.0,6.9
P008,2026-03-27,Male,Weight Training,44,317.0,7122.0,113.0,6.9
P004,2026-01-10,Male,Weight Training,73,496.0,4613.0,114.0,6.2
P018,2026-02-28,Male,Walking,24,128.0,7245.0,90.0,8.4
P004,2026-03-13,Male,Weight Training,48,320.0,3524.0,111.0,7.0
P029,2026-02-23,Male,Running,41,412.0,10850.0,141.0,6.0
P024,2026-02-28,Female,Yoga,35,122.0,3811.0,90.0,9.2
P028,2026-02-24,Female,Walking,63,268.0,10805.0,100.0,6.9
P022,2026-03-21,Male,HIIT,35,396.0,7434.0,146.0,7.7
P021,2026-03-26,Male,Cycling,48,311.0,5506.0,131.0,6.1
P007,2026-02-05,Male,HIIT,19,230.0,5075.0,143.0,4.2
P009,2026-03-01,Female,Yoga,77,257.0,4105.0,91.0,5.8
P011,2026-02-28,Male,Swimming,34,311.0,3599.0,125.0,7.4
P020,2026-02-08,Female,Running,28,253.0,8815.0,121.0,8.6
P010,2026-01-28,Male,Weight Training,31,239.0,3528.0,102.0,7.9
P010,2026-02-09,Male,Walking,39,216.0,7326.0,97.0,5.6
P029,2026-02-20,Male,Cycling,86,655.0,5080.0,133.0,6.8
P029,2026-02-21,Male,Walking,66,340.0,11574.0,103.0,6.2
P003,2026-03-05,Female,Weight Training,60,374.0,6067.0,123.0,5.8
P005,2026-03-15,Male,Cycling,67,515.0,6380.0,118.0,8.6
P005,2026-01-20,Male,Cycling,80,619.0,6742.0,118.0,8.5
P025,2026-01-09,Female,Walking,37,195.0,9153.0,90.0,6.8
P025,2026-03-02,Female,Yoga,63,222.0,5693.0,90.0,7.6
P021,2026-02-19,Male,Yoga,47,221.0,6072.0,102.0,7.0
P026,2026-02-28,Male,Yoga,79,309.0,5141.0,114.0,8.5
P014,2026-02-01,Male,Walking,33,160.0,6884.0,90.0,9.3
P024,2026-01-19,Female,Walking,35,172.0,6795.0,94.0,6.6
P030,2026-01-24,Male,Weight Training,30,231.0,5181.0,108.0,8.3
P009,2026-02-17,Female,Running,49,436.0,11023.0,122.0,6.7
P028,2026-03-17,Female,Yoga,71,255.0,4140.0,94.0,6.0
P012,2026-01-22,Male,Weight Training,39,284.0,3856.0,102.0,8.3
P024,2026-02-13,Female,HIIT,26,238.0,4858.0,128.0,6.1
P023,2026-01-04,Female,Walking,70,287.0,10714.0,93.0,6.9
P005,2026-03-11,Male,Swimming,53,453.0,6386.0,133.0,5.1
P025,2026-02-14,Female,Weight Training,60,358.0,5453.0,108.0,6.0
P003,2026-02-27,Female,Cycling,77,507.0,6052.0,115.0,7.1
P024,2026-02-27,Female,HIIT,29,291.0,5123.0,124.0,6.1
P004,2026-02-22,Male,Running,36,372.0,7794.0,134.0,7.0
P023,2026-01-21,Female,Weight Training,67,428.0,5735.0,104.0,8.0
P006,2026-01-02,Male,Yoga,73,286.0,3234.0,90.0,7.4
P023,2026-01-12,Female,Cycling,82,534.0,4632.0,104.0,7.7
P011,2026-02-10,Male,Running,25,265.0,7448.0,133.0,7.3
P009,2026-02-09,Female,Walking,47,190.0,8376.0,93.0,6.2
P023,2026-01-16,Female,Cycling,77,530.0,4962.0,114.0,6.5
P030,2026-01-17,Male,Running,38,383.0,10606.0,132.0,8.1
P016,2026-01-26,Male,Weight Training,30,222.0,4512.0,104.0,7.2
P008,2026-01-18,Male,Running,42,435.0,11091.0,124.0,9.0
P015,2026-03-06,Male,Running,48,354.0,7779.0,114.0,6.5
P026,2026-02-05,Male,Running,44,454.0,11500.0,135.0,6.6
P012,2026-02-21,Male,Walking,43,223.0,7587.0,90.0,6.8
P004,2026-01-03,Male,Weight Training,58,386.0,4158.0,110.0,7.7
P003,2026-03-31,Female,Yoga,80,274.0,5037.0,94.0,6.1
P013,2026-02-26,Male,Running,42,432.0,11984.0,131.0,4.6
P014,2026-01-08,Male,Cycling,65,486.0,3710.0,138.0,6.0
P023,2026-01-15,Female,Swimming,55,380.0,5001.0,103.0,8.8
P020,2026-02-10,Female,Walking,61,251.0,10587.0,95.0,6.5
P030,2026-01-24,Male,Swimming,63,524.0,4419.0,127.0,6.8
P013,2026-03-03,Male,Walking,53,311.0,11272.0,90.0,7.8
P009,2026-01-20,Female,Swimming,31,259.0,3988.0,116.0,6.3
P020,2026-03-15,Female,HIIT,43,392.0,8020.0,134.0,7.5
P027,2026-01-22,Male,Yoga,69,296.0,6696.0,90.0,7.0
P007,2026-03-12,Male,Weight Training,59,379.0,4736.0,117.0,5.9
P015,2026-01-16,Male,Walking,56,247.0,8913.0,90.0,8.1
P008,2026-02-21,Male,Walking,21,146.0,8150.0,104.0,5.7
P009,2026-02-08,Female,Weight Training,55,343.0,5016.0,110.0,5.3
P023,2026-02-10,Female,Walking,36,153.0,8654.0,94.0,6.7
P028,2026-02-16,Female,Running,41,311.0,10156.0,145.0,6.9
P002,2026-01-26,Male,Running,53,507.0,10848.0,139.0,5.9
P022,2026-02-13,Male,Weight Training,74,488.0,6518.0,123.0,5.9
P004,2026-01-23,Male,Yoga,67,261.0,3869.0,92.0,7.8
P022,2026-02-24,Male,Swimming,38,374.0,5273.0,136.0,7.4
P007,2026-03-15,Male,Cycling,69,509.0,4366.0,115.0,7.5
P006,2026-01-19,Male,Swimming,58,471.0,3338.0,108.0,10.0
P023,2026-03-28,Female,Running,25,253.0,7938.0,127.0,5.2
P019,2026-01-12,Female,Weight Training,53,321.0,3914.0,105.0,7.6
P029,2026-02-19,Male,Yoga,51,200.0,4335.0,90.0,8.9
P020,2026-03-24,Female,HIIT,43,375.0,7713.0,143.0,6.6
P026,2026-02-19,Male,Running,39,427.0,9129.0,129.0,7.2
P024,2026-02-15,Female,Yoga,71,257.0,4255.0,90.0,6.3
P026,2026-03-15,Male,Yoga,33,144.0,4645.0,96.0,6.2
P029,2026-02-20,Male,Walking,42,216.0,7762.0,95.0,8.0
P004,2026-01-17,Male,HIIT,40,405.0,4997.0,128.0,6.7
P007,2026-03-12,Male,Yoga,75,301.0,4467.0,99.0,5.3
P006,2026-02-05,Male,Cycling,39,325.0,3577.0,115.0,6.3
P021,2026-02-11,Male,Weight Training,51,376.0,6735.0,119.0,6.9
P020,2026-03-08,Female,Weight Training,69,403.0,5888.0,114.0,7.2
P016,2026-01-28,Male,Walking,57,311.0,9235.0,90.0,7.5
P020,2026-02-19,Female,HIIT,31,311.0,6305.0,138.0,6.2
P014,2026-01-01,Male,Walking,63,295.0,10074.0,99.0,7.8
P029,2026-01-17,Male,Cycling,49,415.0,4517.0,129.0,6.7
P030,2026-01-23,Male,Swimming,61,514.0,5034.0,131.0,5.3
P029,2026-03-01,Male,Walking,25,150.0,7320.0,109.0,5.4
P007,2026-02-20,Male,HIIT,30,320.0,5811.0,133.0,6.8
P016,2026-02-17,Male,Weight Training,48,311.0,5172.0,105.0,6.9
P010,2026-01-28,Male,Running,28,303.0,7161.0,122.0,8.1
P021,2026-02-21,Male,Yoga,60,277.0,5792.0,100.0,7.0
P029,2026-01-07,Male,Cycling,66,525.0,4720.0,126.0,7.5
P019,2026-01-28,Female,Yoga,33,139.0,4058.0,94.0,6.3
P027,2026-01-17,Male,Weight Training,53,374.0,6394.0,104.0,7.2
P002,2026-02-18,Male,Running,54,528.0,10624.0,134.0,7.0
P020,2026-01-22,Female,Yoga,54,185.0,5036.0,90.0,6.7
P010,2026-01-11,Male,HIIT,35,366.0,5145.0,130.0,7.5
P005,2026-01-02,Male,Yoga,79,310.0,6725.0,90.0,9.4
P012,2026-02-08,Male,Running,56,573.0,10587.0,133.0,7.3
P017,2026-01-19,Female,Swimming,27,212.0,3813.0,130.0,7.5
P014,2026-02-23,Male,Walking,40,206.0,7094.0,107.0,6.4
P001,2026-03-24,Male,Cycling,76,570.0,4503.0,112.0,5.1
P024,2026-01-25,Female,Weight Training,44,253.0,4161.0,109.0,6.4
P004,2026-03-16,Male,Cycling,59,445.0,4104.0,125.0,6.9
P001,2026-01-20,Male,Weight Training,52,334.0,4709.0,98.0,8.3
P026,2026-03-05,Male,Weight Training,33,244.0,5426.0,118.0,6.2
P017,2026-01-10,Female,Yoga,50,207.0,3881.0,97.0,7.3
P026,2026-03-31,Male,Swimming,58,502.0,4753.0,120.0,8.7
P014,2026-03-01,Male,Running,24,228.0,6470.0,139.0,7.4
P009,2026-02-26,Female,Walking,48,311.0,10456.0,92.0,5.8
P006,2026-02-22,Male,Walking,68,303.0,9144.0,93.0,6.8
P011,2026-03-05,Male,Walking,46,252.0,8241.0,101.0,6.7
P027,2026-01-24,Male,Cycling,76,584.0,6456.0,108.0,7.8
P022,2026-03-09,Male,Swimming,73,593.0,5365.0,131.0,8.1
P014,2026-02-26,Male,Yoga,64,242.0,3576.0,100.0,6.4
P029,2026-03-18,Male,Running,59,620.0,12220.0,133.0,7.9
P027,2026-01-27,Male,Walking,27,187.0,9292.0,93.0,6.0
P028,2026-02-19,Female,Cycling,90,311.0,5208.0,133.0,6.7
P022,2026-03-22,Male,Swimming,65,537.0,5447.0,132.0,7.0
P014,2026-03-28,Male,Weight Training,59,394.0,3521.0,124.0,6.9
P014,2026-02-20,Male,Running,57,564.0,10930.0,139.0,7.2
P020,2026-03-31,Female,Weight Training,64,379.0,6111.0,113.0,7.3
P028,2026-02-18,Female,Running,23,236.0,7460.0,130.0,8.9
P020,2026-03-10,Female,Swimming,30,231.0,5505.0,115.0,8.4
P027,2026-01-09,Male,Running,23,255.0,9870.0,123.0,6.1
P005,2026-02-05,Male,Walking,49,233.0,10082.0,101.0,6.0
P009,2026-02-06,Female,Weight Training,53,332.0,5119.0,107.0,5.0
P022,2026-01-10,Male,Walking,46,247.0,10365.0,97.0,7.9
P017,2026-03-18,Female,Swimming,55,414.0,4147.0,139.0,5.6
P027,2026-03-06,Male,Yoga,51,232.0,6021.0,90.0,7.7
P025,2026-02-11,Female,HIIT,23,222.0,6561.0,115.0,8.2
P015,2026-01-16,Male,Walking,62,315.0,9566.0,91.0,6.9
P001,2026-01-19,Male,Yoga,34,156.0,3608.0,90.0,6.5
P017,2026-01-30,Female,Weight Training,43,284.0,4488.0,120.0,8.0
P027,2026-01-09,Male,Yoga,77,318.0,6869.0,90.0,7.1
P016,2026-03-09,Male,Weight Training,70,465.0,4598.0,101.0,6.4
P019,2026-03-08,Female,Cycling,77,509.0,3969.0,115.0,8.0
P017,2026-02-28,Female,Walking,39,177.0,7396.0,99.0,6.9
P008,2026-02-24,Male,HIIT,18,210.0,7077.0,139.0,6.1
P028,2026-03-24,Female,Running,55,493.0,11837.0,138.0,8.1
P022,2026-01-09,Male,Walking,32,195.0,8807.0,112.0,4.5
P020,2026-03-05,Female,Walking,58,253.0,10577.0,97.0,7.0
P003,2026-03-21,Female,HIIT,24,259.0,5952.0,139.0,7.2
P016,2026-03-12,Male,Walking,46,228.0,8554.0,95.0,5.3
P021,2026-02-20,Male,Weight Training,43,331.0,5923.0,113.0,7.0
P001,2026-02-28,Male,Running,22,260.0,6899.0,123.0,6.6
P024,2026-02-24,Female,Yoga,34,161.0,4140.0,100.0,5.0
P009,2026-02-19,Female,Walking,69,309.0,11562.0,90.0,7.2
P009,2026-01-01,Female,Yoga,46,169.0,4262.0,90.0,8.1
P018,2026-03-16,Male,Walking,68,353.0,11021.0,100.0,6.1
P008,2026-01-30,Male,Weight Training,51,394.0,7424.0,115.0,7.4
P025,2026-02-20,Female,Cycling,42,279.0,6076.0,99.0,7.2
P002,2026-01-02,Male,Swimming,65,539.0,4672.0,126.0,7.8
P028,2026-03-21,Female,Cycling,76,518.0,4522.0,126.0,7.0
P007,2026-02-27,Male,Cycling,81,617.0,4373.0,119.0,6.7
P003,2026-02-09,Female,Running,31,275.0,8925.0,122.0,9.0
P027,2026-03-05,Male,Cycling,45,354.0,6923.0,109.0,7.7
P005,2026-01-13,Male,Yoga,39,151.0,6057.0,90.0,8.3
P005,2026-03-23,Male,Swimming,62,525.0,7266.0,131.0,7.0
P003,2026-03-16,Female,Weight Training,60,357.0,6041.0,109.0,7.5
P028,2026-02-10,Female,Yoga,77,311.0,4082.0,93.0,7.9
P019,2026-02-19,Female,Yoga,49,187.0,4067.0,90.0,9.8
P009,2026-01-04,Female,Walking,46,230.0,8717.0,106.0,4.7
P013,2026-02-17,Male,Walking,47,253.0,9866.0,94.0,7.2
P003,2026-03-30,Female,Running,20,192.0,7229.0,119.0,8.8
P001,2026-01-17,Male,Running,56,530.0,11163.0,115.0,7.7
P001,2026-01-01,Male,Swimming,32,291.0,4147.0,112.0,7.8
P004,2026-01-05,Male,HIIT,45,461.0,6234.0,140.0,7.3
P012,2026-02-25,Male,Walking,68,338.0,9431.0,90.0,7.0
P018,2026-01-10,Male,HIIT,28,338.0,6546.0,134.0,7.8
P012,2026-02-12,Male,Swimming,46,408.0,3927.0,117.0,6.5
P019,2026-01-04,Female,Swimming,34,239.0,3409.0,131.0,4.8
P024,2026-03-04,Female,Cycling,36,231.0,3895.0,109.0,6.4
P003,2026-03-13,Female,Running,40,344.0,11304.0,126.0,7.6
P022,2026-03-06,Male,HIIT,28,290.0,6566.0,151.0,6.3
P005,2026-01-29,Male,Cycling,76,570.0,6512.0,122.0,8.0
P020,2026-01-28,Female,Running,58,509.0,13136.0,131.0,7.6
P007,2026-02-03,Male,Running,28,309.0,7772.0,129.0,7.4
P022,2026-03-31,Male,Yoga,76,289.0,5811.0,90.0,9.1
P002,2026-01-24,Male,Running,60,585.0,13163.0,128.0,7.0
P003,2026-01-05,Female,Walking,57,246.0,11409.0,91.0,6.7
P025,2026-01-30,Female,HIIT,29,238.0,7023.0,114.0,8.3
P004,2026-02-01,Male,Yoga,61,243.0,3333.0,93.0,7.4
P030,2026-01-13,Male,Running,25,275.0,8738.0,139.0,6.2
P019,2026-01-26,Female,Cycling,38,294.0,3742.0,122.0,5.7
P023,2026-03-13,Female,Running,33,279.0,8383.0,108.0,9.9
P013,2026-01-21,Male,Yoga,35,175.0,5912.0,95.0,6.4
P024,2026-03-23,Female,Walking,37,170.0,7924.0,95.0,8.1
P009,2026-03-22,Female,Walking,56,223.0,8726.0,90.0,7.0
P025,2026-01-23,Female,Cycling,51,339.0,5560.0,102.0,6.6
P003,2026-01-25,Female,Running,60,517.0,12130.0,142.0,6.0
P026,2026-01-03,Male,HIIT,28,315.0,6162.0,133.0,6.8
P023,2026-02-03,Female,Weight Training,62,384.0,5464.0,104.0,5.9
P019,2026-01-16,Female,Yoga,77,263.0,3998.0,90.0,7.0
P018,2026-03-13,Male,HIIT,26,296.0,6787.0,135.0,6.7
P019,2026-01-07,Female,Running,58,503.0,10758.0,127.0,7.5
P029,2026-03-04,Male,Weight Training,70,494.0,5059.0,122.0,6.9
P009,2026-01-06,Female,Yoga,57,203.0,4806.0,90.0,6.9
P028,2026-03-31,Female,Running,23,220.0,7252.0,139.0,8.3
P009,2026-02-20,Female,Running,59,512.0,12883.0,118.0,7.3
P029,2026-03-03,Male,Walking,63,333.0,11405.0,102.0,7.1
P005,2026-02-24,Male,Weight Training,65,459.0,6714.0,112.0,6.3
P028,2026-03-01,Female,Walking,31,187.0,7135.0,114.0,6.7
P017,2026-01-12,Female,Running,59,522.0,12352.0,146.0,5.3
P023,2026-01-25,Female,Walking,53,244.0,8585.0,114.0,5.7
P001,2026-02-15,Male,HIIT,29,292.0,5641.0,120.0,7.5
P027,2026-03-26,Male,Walking,52,278.0,11645.0,90.0,7.3
P019,2026-02-09,Female,HIIT,36,323.0,5963.0,133.0,7.9
P021,2026-01-01,Male,Walking,38,311.0,9277.0,100.0,7.6
P002,2026-01-16,Male,Running,38,411.0,8444.0,145.0,4.9
P005,2026-02-02,Male,Walking,65,306.0,13676.0,90.0,8.9
P024,2026-02-21,Female,Cycling,38,263.0,3771.0,114.0,7.7
P007,2026-01-15,Male,Walking,49,230.0,8995.0,108.0,4.7
P029,2026-03-15,Male,Walking,55,303.0,10360.0,102.0,6.9
P016,2026-02-06,Male,Walking,49,249.0,8555.0,90.0,8.0
P021,2026-01-03,Male,Walking,57,291.0,11808.0,96.0,8.1
P028,2026-01-10,Female,Walking,52,235.0,9887.0,98.0,6.7
P008,2026-01-22,Male,Running,51,516.0,13956.0,141.0,6.8
P024,2026-02-06,Female,Running,21,181.0,6881.0,128.0,5.5
P011,2026-01-13,Male,Walking,68,341.0,9891.0,104.0,6.0
P014,2026-02-28,Male,Walking,36,174.0,6739.0,90.0,9.0
P014,2026-02-06,Male,Running,36,396.0,7677.0,136.0,7.4
P012,2026-03-18,Male,Swimming,74,589.0,3861.0,124.0,7.0
P019,2026-03-26,Female,Weight Training,64,364.0,4428.0,114.0,7.3
P018,2026-02-02,Male,Running,50,484.0,11375.0,141.0,5.7
P019,2026-02-07,Female,Swimming,22,190.0,3802.0,114.0,7.0
P008,2026-01-27,Male,HIIT,27,307.0,8448.0,138.0,5.7
P008,2026-03-11,Male,Cycling,87,633.0,6676.0,105.0,9.9
P011,2026-02-03,Male,Walking,49,256.0,8531.0,102.0,8.1
P021,2026-02-21,Male,Running,60,610.0,14964.0,139.0,6.7
P026,2026-01-14,Male,HIIT,27,314.0,6011.0,140.0,7.3
P007,2026-02-14,Male,Running,30,310.0,8490.0,129.0,7.0
P018,2026-01-03,Male,Walking,24,125.0,7051.0,91.0,7.4
P023,2026-01-12,Female,Walking,42,156.0,8594.0,90.0,7.5
P013,2026-02-01,Male,Cycling,54,416.0,6585.0,115.0,5.5
P013,2026-01-22,Male,Cycling,60,461.0,6030.0,108.0,7.3
P019,2026-03-07,Female,Weight Training,64,388.0,4765.0,112.0,7.3
P026,2026-01-03,Male,Weight Training,62,418.0,5442.0,116.0,7.0
P026,2026-03-07,Male,Weight Training,44,306.0,4677.0,114.0,6.9
P022,2026-02-10,Male,HIIT,26,305.0,6957.0,140.0,8.3
P014,2026-03-02,Male,Weight Training,67,459.0,4191.0,124.0,7.7
P019,2026-03-28,Female,Running,54,449.0,9978.0,124.0,7.7
P016,2026-03-23,Male,Cycling,40,318.0,4289.0,109.0,7.7
P013,2026-03-01,Male,Yoga,53,227.0,5684.0,90.0,9.2
P014,2026-03-30,Male,HIIT,32,311.0,5418.0,149.0,6.0
P030,2026-02-13,Male,Swimming,32,288.0,4728.0,130.0,5.7
P016,2026-01-29,Male,Swimming,56,469.0,4232.0,116.0,5.7
P022,2026-01-02,Male,Swimming,26,242.0,5168.0,127.0,8.3
P027,2026-01-20,Male,Weight Training,39,288.0,6665.0,108.0,6.1
P028,2026-03-29,Female,Walking,41,212.0,8799.0,104.0,5.6
P015,2026-01-21,Male,Running,20,201.0,5943.0,113.0,8.6
P030,2026-01-28,Male,Walking,32,182.0,6945.0,104.0,6.8
P022,2026-01-14,Male,Running,22,275.0,7793.0,146.0,7.1
P021,2026-02-18,Male,Walking,53,233.0,11268.0,92.0,9.9
P028,2026-02-08,Female,Cycling,67,311.0,4415.0,122.0,7.0
P010,2026-02-09,Male,Cycling,83,637.0,3967.0,118.0,6.5
P011,2026-01-22,Male,Yoga,74,299.0,4055.0,93.0,7.0
P016,2026-02-10,Male,Running,55,513.0,12265.0,110.0,9.6
P009,2026-03-16,Female,Walking,45,200.0,8103.0,90.0,5.7
P019,2026-03-19,Female,Running,34,285.0,7689.0,129.0,7.4
P016,2026-01-17,Male,Running,47,450.0,9990.0,113.0,8.4
P016,2026-02-25,Male,HIIT,19,201.0,5387.0,126.0,6.8
P029,2026-03-10,Male,Swimming,67,536.0,5274.0,131.0,7.9
P003,2026-03-02,Female,HIIT,35,343.0,7591.0,135.0,6.2
P015,2026-02-21,Male,Running,45,417.0,10235.0,112.0,9.3
P027,2026-02-01,Male,Cycling,80,620.0,6425.0,112.0,6.6
P008,2026-01-25,Male,Cycling,67,521.0,7369.0,123.0,5.9
P026,2026-02-05,Male,HIIT,22,243.0,5649.0,132.0,8.3
P005,2026-03-12,Male,Walking,43,233.0,10072.0,102.0,6.0
